data,Russell 1000 Value,Russell 1000 Growth,Russell 2000 Value,Russell 2000 Growth,MSCI World Ex USA Value NR USD,MSCI World Ex USA Growth NR USD,MSCI World Ex USA Small Value NR USD,MSCI World Ex USA Small Growth NR USD,Bloomberg Barclays Global Aggregate x USD,Bloomberg Barclays Global High Yield
20190329,"13,000,854,959,155","13,320,408,031,755","959,024,677,190","1,053,160,067,731","7,350,854,787,986","7,646,866,410,288","1,245,636,683,156","1,259,032,702,537","28,453,459,000,000","2,389,193,000,000"
20190228,"13,027,857,590,283","12,996,750,750,123","995,500,672,307","1,057,753,904,195","7,462,424,158,282","7,546,685,029,636","1,259,920,664,750","1,260,722,297,675","28,188,816,000,000","2,384,358,000,000"
20190131,"12,668,829,284,834","12,573,865,991,672","961,912,380,239","1,008,361,701,344","7,354,412,875,190","7,306,234,063,899","1,242,943,826,515","1,228,343,484,258","28,314,895,000,000","2,366,487,000,000"
20181231,"11,776,226,988,672","11,544,355,593,983","868,524,965,510","908,594,475,310","6,849,607,800,068","6,816,435,169,895","1,150,744,351,898","1,128,287,236,296","27,568,119,000,000","2,279,040,000,000"
20181130,"13,200,771,561,877","12,693,835,658,493","993,165,539,729","1,020,601,313,234","7,073,180,284,558","7,322,430,843,258","1,206,053,685,228","1,219,415,307,572","27,159,318,000,000","2,303,827,000,000"
20181031,"12,902,345,843,498","12,601,648,295,342","983,374,666,811","1,011,010,182,343","7,156,291,498,664","7,304,275,575,769","1,226,841,086,187","1,241,008,543,579","26,998,973,000,000","2,351,701,000,000"
20180928,"13,604,481,216,285","13,832,007,844,655","1,091,849,645,230","1,161,660,602,758","7,718,562,660,498","8,104,078,723,469","1,341,444,815,183","1,394,853,185,077","27,381,774,000,000","2,413,818,000,000"
20180831,"13,662,302,933,741","13,828,109,174,619","1,117,975,052,551","1,168,954,998,205","7,611,052,037,854","8,124,604,372,516","1,346,518,998,667","1,416,580,224,941","27,758,031,000,000","2,393,524,000,000"
20180731,"13,492,353,251,035","13,127,639,337,825","1,096,593,513,613","1,107,820,634,264","7,907,381,929,151","8,172,368,427,316","1,364,829,456,646","1,421,306,245,348","27,709,715,000,000","2,434,124,000,000"
20180629,"13,004,172,492,562","12,779,321,442,153","1,085,596,132,341","1,093,204,485,014","7,696,287,000,383","7,999,277,646,074","1,348,713,754,652","1,428,402,649,619","27,683,719,000,000","2,430,683,000,000"
20180531,"12,122,058,981,048","13,466,666,518,793","1,042,650,879,041","1,161,596,986,175","7,730,016,530,526","8,213,701,643,814","1,370,591,709,884","1,440,870,188,141","27,963,957,000,000","2,465,223,000,000"
20180430,"12,083,208,236,348","12,926,743,980,112","986,109,871,251","1,099,387,130,970","8,112,314,740,110","8,247,323,775,670","1,411,420,642,819","1,434,841,079,979","28,271,690,000,000","2,516,541,000,000"
20180329,"12,063,313,336,852","12,895,944,426,318","971,386,031,551","1,101,411,741,541","7,920,808,906,435","8,133,308,032,918","1,390,829,406,864","1,426,008,352,995","28,872,683,000,000","2,529,880,000,000"
20180228,"12,353,521,540,662","13,295,259,019,648","957,891,792,144","1,077,453,987,584","8,132,031,001,706","8,247,659,295,948","1,417,127,095,094","1,453,319,254,488","28,621,848,000,000","2,549,156,000,000"
20180131,"13,006,741,417,245","13,672,456,327,525","1,013,458,742,977","1,118,377,736,595","8,587,788,617,432","8,639,080,452,475","1,482,618,957,008","1,509,812,652,670","28,745,363,000,000","2,638,608,000,000"
20171229,"12,539,286,811,216","12,763,464,858,194","1,002,687,268,405","1,078,500,610,918","8,187,708,023,074","8,293,309,581,678","1,427,428,175,789","1,432,853,990,107","27,686,861,000,000","2,598,409,000,000"
20171130,"12,446,386,029,692","12,740,237,805,279","1,011,426,254,192","1,066,525,414,577","8,050,550,950,253","8,077,387,644,505","1,347,862,309,169","1,417,847,541,904","27,655,406,000,000","2,600,260,000,000"
20171031,"12,114,215,820,172","12,388,457,296,053","988,961,999,386","1,038,854,966,005","7,995,194,142,891","7,994,159,153,094","1,331,021,217,183","1,391,654,854,573","27,012,401,000,000","2,607,505,000,000"
20170929,"12,058,548,704,315","11,928,486,713,875","994,231,499,430","1,036,856,620,665","7,717,257,026,566","7,446,012,096,189","1,333,385,074,874","1,366,215,381,598","27,181,404,000,000","2,600,717,000,000"
20170831,"11,757,911,228,650","11,781,805,478,570","927,001,030,821","974,388,217,774","7,501,772,919,820","7,293,429,481,198","1,284,482,910,036","1,331,699,279,566","27,484,563,000,000","2,564,445,000,000"
20170731,"11,940,109,203,069","11,593,154,629,741","953,610,303,630","977,907,815,625","7,630,143,331,085","7,506,460,856,047","1,285,714,372,065","1,316,260,051,574","27,093,729,000,000","2,559,342,000,000"
20170630,"11,833,508,751,338","11,337,587,886,322","948,471,420,427","969,990,528,575","7,374,759,544,508","7,293,876,652,096","1,240,745,823,800","1,274,728,583,426","26,332,387,000,000","2,542,644,000,000"
20170531,"11,138,424,019,348","11,877,881,157,967","925,526,607,224","911,635,927,803","7,403,362,745,602","7,353,675,729,464","1,215,159,748,237","1,217,025,140,881","26,440,635,000,000","2,529,867,000,000"
20170428,"11,182,893,082,733","11,601,895,383,012","964,964,376,242","922,357,187,149","7,376,492,648,802","7,065,887,253,411","1,198,301,243,843","1,181,927,558,046","25,663,614,000,000","2,505,243,000,000"
20170331,"11,235,015,869,592","11,375,306,727,378","963,767,448,514","909,570,258,529","7,281,191,748,662","6,893,153,722,160","1,169,601,191,660","1,137,594,429,659","25,253,821,000,000","2,473,198,000,000"
20170228,"11,391,054,913,853","11,270,836,240,881","976,467,818,793","905,435,389,170","7,111,740,493,490","6,727,882,026,368","1,158,571,627,987","1,113,348,565,687","25,207,639,000,000","2,453,810,000,000"
20170131,"11,053,295,979,589","10,846,801,370,276","965,644,224,096","894,442,382,973","7,086,123,269,145","6,605,609,150,188","1,139,448,535,909","1,089,744,919,511","25,003,727,000,000","2,428,204,000,000"
20161230,"10,999,985,299,220","10,509,193,990,150","979,461,760,903","881,138,459,483","6,914,461,132,526","6,401,638,204,257","1,103,142,250,364","1,056,317,467,537","24,399,471,000,000","2,380,657,000,000"
20161130,"10,774,576,947,510","10,431,054,449,290","940,505,373,611","868,920,243,840","6,678,259,047,078","6,242,214,062,280","1,059,555,964,814","1,038,205,600,119","24,752,552,000,000","2,362,438,000,000"
20161031,"10,223,367,196,366","10,243,235,557,224","830,432,811,459","807,727,218,003","6,638,045,410,128","6,338,633,665,689","1,069,558,271,676","1,072,917,020,111","25,997,130,000,000","2,436,231,000,000"
20160930,"10,403,715,536,394","10,501,037,849,767","856,729,554,617","862,854,657,659","6,628,682,037,803","6,672,679,436,966","1,090,276,089,109","1,121,180,840,120","27,097,151,000,000","2,453,292,000,000"
20160831,"10,492,113,539,909","10,498,246,369,761","854,805,036,694","857,039,678,348","6,582,002,346,307","6,609,157,490,217","1,071,815,382,057","1,069,582,335,709","26,971,783,000,000","2,384,831,000,000"
